id;nm_cliente;cpf;telefone
1;Credit Card Account;Tools Handmade;generating Main
2;compress Kuwait artificial intelligence;world-class ca;ChipsXXXXXXXXXX
3;AGP Investor Advanced;WisconsinXXXXX;incubateXXXXXXX
4;Keys Usability transmit;Gloves transmi;synthesize Spec
5;azure bottom-line override;driverXXXXXXXX;feedXXXXXXXXXXX
6;payment Auto Loan Account;PracticalXXXXX;tan transitiona
7;Avon Shoal dynamic;ProductXXXXXXX;Intelligent Gra
8;Frozen;invoiceXXXXXXX;deposit instruc
9;Dynamic pixel New Mexico;seamless BallX;revolutionize p
10;Ports alliance auxiliary;Assurance Camb;calculateXXXXXX
